time,signal
13850,4514.0
13860,4269.0
13870,4492.0
13880,4642.0
13890,4319.0
13900,4516.0
13910,4360.0
13920,4292.0
13930,4384.0
13940,4363.0
13950,4522.0
13960,4464.0
13970,4354.0
13980,4253.0
13990,4425.0
14000,4150.0
14010,4330.0
14020,4293.0
14030,4460.0
14040,4227.0
14050,4409.0
14060,4180.0
14070,4377.0
14080,4330.0
14090,4455.0
14100,4044.0
14110,4046.0
14120,4142.0
14130,4209.0
14140,4395.0
14150,4055.0
14160,4269.0
14170,4121.0
14180,4070.0
14190,4123.0
14200,4222.0
14210,4062.0
14220,4005.0
14230,4186.0
14240,4012.0
14250,4075.0
14260,4026.0
14270,4052.0
14280,3994.0
14290,4108.0
14300,3966.0
14310,3896.0
14320,4037.0
14330,3740.0
14340,3844.0
14350,3847.0
14360,3997.0
14370,3963.0
14380,4085.0
14390,3838.0
14400,3789.0
14410,3810.0
14420,3863.0
14430,3929.0
14440,3805.0
14450,3848.0
14460,3872.0
14470,3812.0
14480,3848.0
14490,3768.0
14500,3585.0
14510,3728.0
14520,3778.0
14530,3698.0
14540,3633.0
14550,3609.0
14560,3573.0
14570,3748.0
14580,3709.0
14590,3741.0
14600,3588.0
14610,3913.0
14620,3682.0
14630,3697.0
14640,3639.0
14650,3569.0
14660,3465.0
14670,3531.0
14680,3722.0
14690,3533.0
14700,3688.0
14710,3664.0
14720,3673.0
14730,3472.0
14740,3302.0
14750,3557.0
14760,3499.0
14770,3542.0
14780,3509.0
14790,3440.0
14800,3456.0
14810,3453.0
14820,3236.0
14830,3395.0
14840,3394.0
14850,3368.0
14860,3357.0
14870,3373.0
14880,3287.0
14890,3370.0
14900,3344.0
14910,3427.0
14920,3222.0
14930,3330.0
14940,3450.0
14950,3383.0
14960,3340.0
14970,3188.0
14980,3143.0
14990,3266.0
15000,3098.0
15010,3043.0
15020,3232.0
15030,3161.0
15040,3277.0
15050,3253.0
15060,3356.0
15070,3220.0
15080,3176.0
15090,3298.0
15100,3244.0
15110,3207.0
15120,3039.0
15130,3046.0
15140,3134.0
15150,3081.0
15160,3320.0
15170,3182.0
15180,3100.0
15190,3054.0
15200,3134.0
15210,3187.0
15220,3163.0
15230,2958.0
15240,2898.0
15250,2957.0
15260,3026.0
15270,2964.0
15280,3114.0
15290,3094.0
15300,2957.0
15310,3014.0
15320,3176.0
15330,2955.0
15340,3050.0
15350,3067.0
15360,3016.0
15370,2967.0
15380,2951.0
15390,2894.0
15400,2713.0
15410,2908.0
15420,2884.0
15430,2833.0
15440,2886.0
15450,2850.0
15460,2946.0
15470,2960.0
15480,2941.0
15490,2867.0
15500,2923.0
15510,2770.0
15520,2732.0
15530,2710.0
15540,2903.0
15550,2794.0
15560,2907.0
15570,2808.0
15580,2757.0
15590,2941.0
15600,2703.0
15610,2727.0
15620,2628.0
15630,2671.0
15640,2702.0
15650,2709.0
15660,2649.0
15670,2769.0
15680,2803.0
